===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 6000}, {'seat': 1, 'stack': 12000}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00001] start | button=Seat 1
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 5900}, {'seat': 1, 'stack': 12100}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00002] start | button=Prometheus (A)
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 5850}, {'seat': 1, 'stack': 12150}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00003] start | button=Seat 1
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 5900}, {'seat': 1, 'stack': 12100}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00004] start | button=Prometheus (A)
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 11800}, {'seat': 1, 'stack': 6200}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00005] start | button=Seat 1
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 11700}, {'seat': 1, 'stack': 6300}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00006] start | button=Prometheus (A)
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 11800}, {'seat': 1, 'stack': 6200}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00007] start | button=Seat 1
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 11700}, {'seat': 1, 'stack': 6300}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00008] start | button=Prometheus (A)
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 5400}, {'seat': 1, 'stack': 12600}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00009] start | button=Seat 1
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 5450}, {'seat': 1, 'stack': 12550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00010] start | button=Prometheus (A)
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 5400}, {'seat': 1, 'stack': 12600}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00011] start | button=Seat 1
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 5450}, {'seat': 1, 'stack': 12550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00012] start | button=Prometheus (A)
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 5400}, {'seat': 1, 'stack': 12600}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00013] start | button=Seat 1
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 5450}, {'seat': 1, 'stack': 12550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00014] start | button=Prometheus (A)
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 5400}, {'seat': 1, 'stack': 12600}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00015] start | button=Seat 1
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 5450}, {'seat': 1, 'stack': 12550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00016] start | button=Prometheus (A)
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 10900}, {'seat': 1, 'stack': 7100}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00017] start | button=Seat 1
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 10950}, {'seat': 1, 'stack': 7050}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00018] start | button=Prometheus (A)
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 10900}, {'seat': 1, 'stack': 7100}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00019] start | button=Seat 1
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 10800}, {'seat': 1, 'stack': 7200}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00020] start | button=Prometheus (A)
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 10900}, {'seat': 1, 'stack': 7100}, {'seat': 2, 'stack': 0}]
