===== BOT A =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (A)
[welcome] seat=0 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[practice] waiting for partner | bot=A state=WAITING_FOR_PARTNER
[hand H-20251113-00000] start | button=Prometheus (A)
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 12050}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00001] start | button=Seat 1
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 11950}, {'seat': 1, 'stack': 6050}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00002] start | button=Prometheus (A)
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 12050}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00003] start | button=Seat 1
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 6100}, {'seat': 1, 'stack': 11900}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00004] start | button=Prometheus (A)
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 12200}, {'seat': 1, 'stack': 5800}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00005] start | button=Seat 1
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 12250}, {'seat': 1, 'stack': 5750}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00006] start | button=Prometheus (A)
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 6500}, {'seat': 1, 'stack': 11500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00007] start | button=Seat 1
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 6550}, {'seat': 1, 'stack': 11450}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00008] start | button=Prometheus (A)
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 13100}, {'seat': 1, 'stack': 4900}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00009] start | button=Seat 1
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 13000}, {'seat': 1, 'stack': 5000}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00010] start | button=Prometheus (A)
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 13500}, {'seat': 1, 'stack': 4500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00011] start | button=Seat 1
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 13550}, {'seat': 1, 'stack': 4450}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00012] start | button=Prometheus (A)
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 13650}, {'seat': 1, 'stack': 4350}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00013] start | button=Seat 1
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 9300}, {'seat': 1, 'stack': 8700}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00014] start | button=Prometheus (A)
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 9250}, {'seat': 1, 'stack': 8750}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00015] start | button=Seat 1
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 500}, {'seat': 1, 'stack': 17500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00016] start | button=Prometheus (A)
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 450}, {'seat': 1, 'stack': 17550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00017] start | button=Seat 1
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 350}, {'seat': 1, 'stack': 17650}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00018] start | button=Prometheus (A)
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 300}, {'seat': 1, 'stack': 17700}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00019] start | button=Seat 1
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 200}, {'seat': 1, 'stack': 17800}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00020] start | button=Prometheus (A)
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 300}, {'seat': 1, 'stack': 17700}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00021] start | button=Seat 1
[hand H-20251113-00021] end | stacks=[{'seat': 0, 'stack': 350}, {'seat': 1, 'stack': 17650}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00022] start | button=Prometheus (A)
[hand H-20251113-00022] end | stacks=[{'seat': 0, 'stack': 450}, {'seat': 1, 'stack': 17550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00023] start | button=Seat 1
[hand H-20251113-00023] end | stacks=[{'seat': 0, 'stack': 500}, {'seat': 1, 'stack': 17500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00024] start | button=Prometheus (A)
[hand H-20251113-00024] end | stacks=[{'seat': 0, 'stack': 1000}, {'seat': 1, 'stack': 17000}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00025] start | button=Seat 1
[hand H-20251113-00025] end | stacks=[{'seat': 0, 'stack': 900}, {'seat': 1, 'stack': 17100}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00026] start | button=Prometheus (A)
[hand H-20251113-00026] end | stacks=[{'seat': 0, 'stack': 850}, {'seat': 1, 'stack': 17150}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00027] start | button=Seat 1
[hand H-20251113-00027] end | stacks=[{'seat': 0, 'stack': 750}, {'seat': 1, 'stack': 17250}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00028] start | button=Prometheus (A)
[hand H-20251113-00028] end | stacks=[{'seat': 0, 'stack': 850}, {'seat': 1, 'stack': 17150}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00029] start | button=Seat 1
[hand H-20251113-00029] end | stacks=[{'seat': 0, 'stack': 750}, {'seat': 1, 'stack': 17250}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00030] start | button=Prometheus (A)
[hand H-20251113-00030] end | stacks=[{'seat': 0, 'stack': 700}, {'seat': 1, 'stack': 17300}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00031] start | button=Seat 1
[hand H-20251113-00031] end | stacks=[{'seat': 0, 'stack': 750}, {'seat': 1, 'stack': 17250}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00032] start | button=Prometheus (A)
[hand H-20251113-00032] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 18000}, {'seat': 2, 'stack': 0}]
[match] winner={'seat': 1, 'team': 'Prometheus (B)'}

===== BOT B =====
[connect] wss://poker-bot-arena.fly.dev/ws as Prometheus (B)
[welcome] seat=1 config={'variant': 'HUNL', 'seats': 3, 'starting_stack': 6000, 'sb': 50, 'bb': 100}
[hand H-20251113-00000] start | button=Seat 0
[hand H-20251113-00000] end | stacks=[{'seat': 0, 'stack': 12050}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00001] start | button=Prometheus (B)
[hand H-20251113-00001] end | stacks=[{'seat': 0, 'stack': 11950}, {'seat': 1, 'stack': 6050}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00002] start | button=Seat 0
[hand H-20251113-00002] end | stacks=[{'seat': 0, 'stack': 12050}, {'seat': 1, 'stack': 5950}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00003] start | button=Prometheus (B)
[hand H-20251113-00003] end | stacks=[{'seat': 0, 'stack': 6100}, {'seat': 1, 'stack': 11900}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00004] start | button=Seat 0
[hand H-20251113-00004] end | stacks=[{'seat': 0, 'stack': 12200}, {'seat': 1, 'stack': 5800}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00005] start | button=Prometheus (B)
[hand H-20251113-00005] end | stacks=[{'seat': 0, 'stack': 12250}, {'seat': 1, 'stack': 5750}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00006] start | button=Seat 0
[hand H-20251113-00006] end | stacks=[{'seat': 0, 'stack': 6500}, {'seat': 1, 'stack': 11500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00007] start | button=Prometheus (B)
[hand H-20251113-00007] end | stacks=[{'seat': 0, 'stack': 6550}, {'seat': 1, 'stack': 11450}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00008] start | button=Seat 0
[hand H-20251113-00008] end | stacks=[{'seat': 0, 'stack': 13100}, {'seat': 1, 'stack': 4900}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00009] start | button=Prometheus (B)
[hand H-20251113-00009] end | stacks=[{'seat': 0, 'stack': 13000}, {'seat': 1, 'stack': 5000}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00010] start | button=Seat 0
[hand H-20251113-00010] end | stacks=[{'seat': 0, 'stack': 13500}, {'seat': 1, 'stack': 4500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00011] start | button=Prometheus (B)
[hand H-20251113-00011] end | stacks=[{'seat': 0, 'stack': 13550}, {'seat': 1, 'stack': 4450}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00012] start | button=Seat 0
[hand H-20251113-00012] end | stacks=[{'seat': 0, 'stack': 13650}, {'seat': 1, 'stack': 4350}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00013] start | button=Prometheus (B)
[hand H-20251113-00013] end | stacks=[{'seat': 0, 'stack': 9300}, {'seat': 1, 'stack': 8700}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00014] start | button=Seat 0
[hand H-20251113-00014] end | stacks=[{'seat': 0, 'stack': 9250}, {'seat': 1, 'stack': 8750}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00015] start | button=Prometheus (B)
[hand H-20251113-00015] end | stacks=[{'seat': 0, 'stack': 500}, {'seat': 1, 'stack': 17500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00016] start | button=Seat 0
[hand H-20251113-00016] end | stacks=[{'seat': 0, 'stack': 450}, {'seat': 1, 'stack': 17550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00017] start | button=Prometheus (B)
[hand H-20251113-00017] end | stacks=[{'seat': 0, 'stack': 350}, {'seat': 1, 'stack': 17650}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00018] start | button=Seat 0
[hand H-20251113-00018] end | stacks=[{'seat': 0, 'stack': 300}, {'seat': 1, 'stack': 17700}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00019] start | button=Prometheus (B)
[hand H-20251113-00019] end | stacks=[{'seat': 0, 'stack': 200}, {'seat': 1, 'stack': 17800}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00020] start | button=Seat 0
[hand H-20251113-00020] end | stacks=[{'seat': 0, 'stack': 300}, {'seat': 1, 'stack': 17700}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00021] start | button=Prometheus (B)
[hand H-20251113-00021] end | stacks=[{'seat': 0, 'stack': 350}, {'seat': 1, 'stack': 17650}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00022] start | button=Seat 0
[hand H-20251113-00022] end | stacks=[{'seat': 0, 'stack': 450}, {'seat': 1, 'stack': 17550}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00023] start | button=Prometheus (B)
[hand H-20251113-00023] end | stacks=[{'seat': 0, 'stack': 500}, {'seat': 1, 'stack': 17500}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00024] start | button=Seat 0
[hand H-20251113-00024] end | stacks=[{'seat': 0, 'stack': 1000}, {'seat': 1, 'stack': 17000}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00025] start | button=Prometheus (B)
[hand H-20251113-00025] end | stacks=[{'seat': 0, 'stack': 900}, {'seat': 1, 'stack': 17100}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00026] start | button=Seat 0
[hand H-20251113-00026] end | stacks=[{'seat': 0, 'stack': 850}, {'seat': 1, 'stack': 17150}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00027] start | button=Prometheus (B)
[hand H-20251113-00027] end | stacks=[{'seat': 0, 'stack': 750}, {'seat': 1, 'stack': 17250}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00028] start | button=Seat 0
[hand H-20251113-00028] end | stacks=[{'seat': 0, 'stack': 850}, {'seat': 1, 'stack': 17150}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00029] start | button=Prometheus (B)
[hand H-20251113-00029] end | stacks=[{'seat': 0, 'stack': 750}, {'seat': 1, 'stack': 17250}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00030] start | button=Seat 0
[hand H-20251113-00030] end | stacks=[{'seat': 0, 'stack': 700}, {'seat': 1, 'stack': 17300}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00031] start | button=Prometheus (B)
[hand H-20251113-00031] end | stacks=[{'seat': 0, 'stack': 750}, {'seat': 1, 'stack': 17250}, {'seat': 2, 'stack': 0}]
[hand H-20251113-00032] start | button=Seat 0
[hand H-20251113-00032] end | stacks=[{'seat': 0, 'stack': 0}, {'seat': 1, 'stack': 18000}, {'seat': 2, 'stack': 0}]
[match] winner={'seat': 1, 'team': 'Prometheus (B)'}

